label,code
Alfa Romeo,1
Audi,2
BMW,4
Cadillac,5
Chevrolet,6
Chrysler,8
Citroen,9
Dacia,10
Daewoo,11
Daihatsu,12
Dodge,14
Fiat,15
Ford,16
Great Wall,17
Honda,18
Hummer,19
Hyundai,20
Infiniti,21
Isuzu,22
Jaguar,23
Jeep,24
Kia,25
Lada,26
Lancia,27
Land Rover,28
Lexus,29
Mazda,30
Mercedes,31
MG Rover,32
MINI,33
Mitsubishi,34
Nissan,35
Opel/Vauxhall,36
Peugeot,37
Porsche,38
Proton,39
Renault,40
Saab,41
Seat,42
Skoda,43
Ssangyong,44
Subaru,45
Suzuki,46
Toyota,47
VAZ,48
Volvo,49
VW,50
Aston Martin,51
Datsun,52
Lotus,53
Morgan,54
Noble,55
Range Rover,56
Rover,57
Smart,58
TVR,59
Trabant,60
Daimler,61
Ferrari,62
Lamborghini,63
Maserati,64
Bentley,65
General Motors,66
Rolls Royce,67
Tata,68
Logan,69
GAZ,70
Tesla,71
Titan,72
Bugatti,73
Caterham,74
DS,75
Cupra,76
Polestar,77
BYD,78
Acura,79
Omoda,80
DR,81
Xpeng,82
Jaecoo,83
Unable to Read -Cyrillic script,95
All,96
None,97
Other,98
Don't know / not stated,99
